reference_number,authors,date,title,source,additional_info,link_pubmed
31,"Zhou, X. et al.",2011,Cholinergic modulation of working memory activity in primate prefrontal cortex,Journal of Neurophysiology,"106, 2180-2188",https://www.ncbi.nlm.nih.gov/pubmed/21795623?dopt=Abstract
32,"Qi, X.-L. et al.",2010,Comparison of neural activity related to working memory in primate dorsolateral prefrontal and posterior parietal cortex,Frontiers in Systems Neuroscience,"4, 12",https://www.ncbi.nlm.nih.gov/pubmed/20514341?dopt=Abstract
33,"Meyer, T. et al.",2007,Persistent Discharges in the Prefrontal Cortex of Monkeys Naive to Working Memory Tasks,Cerebral Cortex,"17, i70-i76",https://www.ncbi.nlm.nih.gov/pubmed/17726005?dopt=Abstract
34,"Lebedev, M.A. et al.",2004,Representation of attended versus remembered locations in prefrontal cortex,PLoS Biology,"2, e365",https://www.ncbi.nlm.nih.gov/pubmed/15510225?dopt=Abstract
35,"Constantinidis, C. et al.",2001,Coding specificity in cortical microcircuits: a multiple-electrode analysis of primate prefrontal cortex,The Journal of Neuroscience,"21, 3646-3655",https://www.ncbi.nlm.nih.gov/pubmed/11331394?dopt=Abstract
36,"Constantinidis, C. et al.",2001,The sensory nature of mnemonic representation in the primate prefrontal cortex,Nature Neuroscience,"4, 311-316",https://www.ncbi.nlm.nih.gov/pubmed/11224549?dopt=Abstract
37,"Funahashi, S. et al.",1993,Prefrontal neuronal activity in rhesus monkeys performing a delayed anti-saccade task,Nature,"365, 753-756",https://www.ncbi.nlm.nih.gov/pubmed/8413653?dopt=Abstract
38,"Funahashi, S. et al.",1989,Mnemonic coding of visual space in the monkey's dorsolateral prefrontal cortex,Journal of Neurophysiology,"61, 331-349",https://www.ncbi.nlm.nih.gov/pubmed/2918358?dopt=Abstract
39,"Batuev, A.S. et al.",1985,Comparative characteristics of unit activity in the prefrontal and parietal areas during delayed performance in monkeys,Behavioral Brain Research,"16, 57-70",https://www.ncbi.nlm.nih.gov/pubmed/4026952?dopt=Abstract
40,"Kojima, S. and Goldman-Rakic, P.S.",1982,Delay-related activity of prefrontal neurons in rhesus monkeys performing delayed response,Brain Research,"248, 43-49",https://www.ncbi.nlm.nih.gov/pubmed/7127141?dopt=Abstract
41,"Bodner, M. et al.",1996,Auditory memory cells in dorsolateral prefrontal cortex,Neuroreport,"7, 1905",https://www.ncbi.nlm.nih.gov/pubmed/8905689?dopt=Abstract
42,"Koch, K.W. and Fuster, J.M.",1989,Unit activity in monkey parietal cortex related to haptic perception and temporary memory,Experimental Brain Research,"76, 292-306",https://www.ncbi.nlm.nih.gov/pubmed/2767186?dopt=Abstract
43,"Constantinidis, C. and Steinmetz, M.A.",1996,Neuronal activity in posterior parietal area 7a during the delay periods of a spatial memory task,Journal of Neurophysiology,"76, 1352-1355",https://www.ncbi.nlm.nih.gov/pubmed/8871242?dopt=Abstract
44,"Crowe, D.A. et al.",2010,Rapid sequences of population activity patterns dynamically encode task-critical spatial information in parietal cortex,The Journal of Neuroscience,"30, 11640-11653",https://www.ncbi.nlm.nih.gov/pubmed/20810885?dopt=Abstract
45,"Chafee, M.V. and Goldman-Rakic, P.S.",2000,Inactivation of parietal and prefrontal cortex reveals interdependence of neural activity during memory-guided saccades,Journal of Neurophysiology,"83, 1550-1566",https://www.ncbi.nlm.nih.gov/pubmed/10712479?dopt=Abstract
46,"Andersen, R.A. et al.",1987,Neurons of area 7 activated by both visual stimuli and oculomotor behavior,Experimental Brain Research,"67, 316-322",https://www.ncbi.nlm.nih.gov/pubmed/3622691?dopt=Abstract
47,"Ferrera, V.P. et al.",1994,Responses of neurons in the parietal and temporal visual pathways during a motion task,The Journal of Neuroscience,"14, 6171-6186",https://www.ncbi.nlm.nih.gov/pubmed/7931571?dopt=Abstract
48,"Fuster, J.M. et al.",2000,Cross-modal and cross-temporal association in neurons of frontal cortex,Nature,"405, 347-351",https://www.ncbi.nlm.nih.gov/pubmed/10830963?dopt=Abstract
49,"Zhou, X. et al.",2016,Neural correlates of working memory development in adolescent primates,Nature Communications,"7, 13423",https://www.ncbi.nlm.nih.gov/pubmed/27827365?dopt=Abstract
50,"Rainer, G. et al.",1998,Memory fields of neurons in the primate prefrontal cortex,PNAS,"95, 15008-15013",https://www.ncbi.nlm.nih.gov/pubmed/9844006?dopt=Abstract
51,"Rainer, G. et al.",1998,Selective representation of relevant information by neurons in the primate prefrontal cortex,Nature,"393, 577-579",https://www.ncbi.nlm.nih.gov/pubmed/9634233?dopt=Abstract
52,"Chafee, M.V. and Goldman-Rakic, P.S.",1998,Matching patterns of activity in primate prefrontal area 8a and parietal area 7ip neurons during a spatial working memory task,Journal of Neurophysiology,"79, 2919-2940",https://www.ncbi.nlm.nih.gov/pubmed/9636098?dopt=Abstract
53,"Carlson, S. et al.",1997,Dissociation of mnemonic coding and other functional neuronal processing in the monkey prefrontal cortex,Journal of Neurophysiology,"77, 761-774",https://www.ncbi.nlm.nih.gov/pubmed/9065848?dopt=Abstract
54,"Leavitt, M.L. et al.",2017,Correlated variability modifies working memory fidelity in primate prefrontal neuronal ensembles,PNAS,"114, E2494-E2503",https://www.ncbi.nlm.nih.gov/pubmed/28275096?dopt=Abstract
55,"Armstrong, K.M. et al.",2009,Selection and Maintenance of Spatial Information by Frontal Eye Field Neurons,The Journal of Neuroscience,"29, 15621-15629",https://www.ncbi.nlm.nih.gov/pubmed/20016076?dopt=Abstract
56,"Lara, A.H. and Wallis, J.D.",2014,Executive control processes underlying multi-item working memory,Nature Neuroscience DOI:,DOI: 10.1038/nn.3702,https://www.ncbi.nlm.nih.gov/pubmed/24747574?dopt=Abstract
57,"Takeda, K. and Funahashi, S.",2002,Prefrontal Task-Related Activity Representing Visual Cue Location or Saccade Direction in Spatial Working Memory Tasks,Journal of Neurophysiology,"87, 567-588",https://www.ncbi.nlm.nih.gov/pubmed/11784772?dopt=Abstract
58,"Meyer, T. et al.",2011,Stimulus selectivity in dorsal and ventral prefrontal cortex after training in working memory tasks,The Journal of Neuroscience,"31, 6266-6276",https://www.ncbi.nlm.nih.gov/pubmed/21525266?dopt=Abstract
59,"di Pellegrino, G. and Wise, S.P.",1993,Visuospatial versus visuomotor activity in the premotor and prefrontal cortex of a primate,The Journal of Neuroscience,"13, 1227-1243",https://www.ncbi.nlm.nih.gov/pubmed/8441009?dopt=Abstract
60,"Jacob, S.N. and Nieder, A.",2014,Complementary Roles for Primate Frontal and Parietal Cortex in Guarding Working Memory from Distractor Stimuli,Neuron,"83, 226-237",https://www.ncbi.nlm.nih.gov/pubmed/24991963?dopt=Abstract
61,"Plakke, B. et al.",2013,Neural correlates of auditory recognition memory in primate lateral prefrontal cortex,Neuroscience,"244, 62-76",https://www.ncbi.nlm.nih.gov/pubmed/23583656?dopt=Abstract
62,"Zaksas, D. and Pasternak, T.",2006,Directional signals in the prefrontal cortex and in area MT during a working memory for visual motion task,The Journal of Neuroscience,"26, 11726-11742",https://www.ncbi.nlm.nih.gov/pubmed/17093094?dopt=Abstract
63,"Gottlieb, Y. et al.",1989,Single unit activity in the auditory cortex of a monkey performing a short term memory task,Experimental Brain Research,"74, 139-148",https://www.ncbi.nlm.nih.gov/pubmed/2924831?dopt=Abstract
64,"Bigelow, J. et al.",2014,Neural correlates of short-term memory in primate auditory cortex,Frontiers in Neuroscience,"8, 250",https://www.ncbi.nlm.nih.gov/pubmed/25177266?dopt=Abstract
65,"Scott, B.H. et al.",2014,Neural correlates of auditory short-term memory in rostral superior temporal cortex,Current Biology,"24, 2767-2775",https://www.ncbi.nlm.nih.gov/pubmed/25456448?dopt=Abstract
66,"Lemus, L. et al.",2009,Neural codes for perceptual discrimination of acoustic flutter in the primate auditory cortex,PNAS,"106, 9471-9476",https://www.ncbi.nlm.nih.gov/pubmed/19458263?dopt=Abstract
67,"Suzuki, W.A. et al.",1997,Object and place memory in the macaque entorhinal cortex,Journal of Neurophysiology,"78, 1062-1081",https://www.ncbi.nlm.nih.gov/pubmed/9307135?dopt=Abstract
68,"Cisek, P. and Kalaska, J.F.",2005,Neural correlates of reaching decisions in dorsal premotor cortex: specification of multiple direction choices and final selection of action,Neuron,"45, 801-814",https://www.ncbi.nlm.nih.gov/pubmed/15748854?dopt=Abstract
69,"Hernandez, A. et al.",2002,Temporal evolution of a decision-making process in medial premotor cortex,Neuron,"33, 959-972",https://www.ncbi.nlm.nih.gov/pubmed/11906701?dopt=Abstract
70,"Lemus, L. et al.",2007,Neural correlates of a postponed decision report,PNAS,"104, 17174-17179",https://www.ncbi.nlm.nih.gov/pubmed/17940014?dopt=Abstract
71,"Graziano, M.S. et al.",1997,Coding the locations of objects in the dark,Science,"277, 239-241",https://www.ncbi.nlm.nih.gov/pubmed/9211852?dopt=Abstract
72,"Romo, R. et al.",2004,Neuronal correlates of a perceptual decision in ventral premotor cortex,Neuron,"41, 165-173",https://www.ncbi.nlm.nih.gov/pubmed/14715143?dopt=Abstract
73,"Lemus, L. et al.",2009,Neural encoding of auditory discrimination in ventral premotor cortex,PNAS,"106, 14640-14645",https://www.ncbi.nlm.nih.gov/pubmed/19667191?dopt=Abstract
74,"Vergara, J. et al.",2016,A Neural Parametric Code for Storing Information of More than One Sensory Modality in Working Memory,Neuron,"89, 54-62",https://www.ncbi.nlm.nih.gov/pubmed/26711117?dopt=Abstract
75,"Russo, G.S. and Bruce, C.J.",1996,Neurons in the supplementary eye field of rhesus monkeys code visual targets and saccadic eye movements in an oculocentric coordinate system,Journal of Neurophysiology,"76, 825-848",https://www.ncbi.nlm.nih.gov/pubmed/8871203?dopt=Abstract
76,"Olson, C.R. and Tremblay, L.",2000,Macaque supplementary eye field neurons encode object-centered locations relative to both continuous and discontinuous objects,Journal of Neurophysiology,"83, 2392-2411",https://www.ncbi.nlm.nih.gov/pubmed/10758141?dopt=Abstract
77,"Pesaran, B. et al.",2002,Temporal structure in neuronal activity during working memory in macaque parietal cortex,Nature Neuroscience,"5, 805-811",https://www.ncbi.nlm.nih.gov/pubmed/12134152?dopt=Abstract
78,"Powell, K.D. and Goldberg, M.E.",2000,Response of neurons in the lateral intraparietal area to a distractor flashed during the delay period of a memory-guided saccade,Journal of Neurophysiology,"84, 301-310",https://www.ncbi.nlm.nih.gov/pubmed/10899205?dopt=Abstract
79,"Colby, C.L. et al.",1996,"Visual, presaccadic, and cognitive activation of single neurons in monkey lateral intraparietal area",Journal of Neurophysiology,"76, 2841-2852",https://www.ncbi.nlm.nih.gov/pubmed/8930237?dopt=Abstract
